"en","tr"
"Mix polymer for rapid hull patching. Restores 35% Hull Integrity.","Hızlı gövde onarımı için polimer karıştır. Gövde Bütünlüğünün %35'ini yeniler."
"Molecular Compression","Moleküler Sıkıştırma"
"Molecular Disassembler","Moleküler Parçalayıcı"
"Molecular Fabricator","Moleküler Üretici"
"Molecular Printing","Moleküler Baskı"
"Molecular Recycling","Moleküler Geri Dönüşüm"
"Molecular-scale lattice from structural components and lightweight metals. Capital-grade fabrication.","Yapısal bileşenler ve hafif metallerden moleküler ölçekte kafes. Ana gemi sınıfı üretim."
"Molecular-scale lattice of Structural Components infused with lightweight metals. Required for capital-grade fabrication.","Hafif metallerle aşılanmış Yapısal Bileşenlerden oluşan moleküler ölçekte kafes. Ana gemi sınıfı üretim için gereklidir."
"Mono-Filament Wire","Mono-Filament Tel"
"Monolith's Barrier","Monolit'in Bariyeri"
"Monolith's Bedrock","Monolit'in Temeli"
"Monolith's Shatter","Monolit'in Parçalanması"
"Monolith's Shell","Monolit'in Kabuğu"
"Nanite Resurgence","Nanit Dirilişi"
"Nanite Syringe","Nanit Şırıngası"
"Nano-Substrate","Nano-Alt Tabaka"
"Nanoweave Mesh","Nano-Örgü Ağ"
"Navigation Data","Navigasyon Verisi"
"Nearly indestructible Ir plating. Ultimate defense.","Neredeyse yok edilemez Ir kaplaması. Nihai savunma."
"Nebula Phantom","Bulutsu Hayaleti"
"Neon Cyber-Deck","Neon Siber-Güverte"
"Neutron Slugger","Nötron Vurucusu"
"Neutronium","Nötronyum"
"Neutronium Condenser","Nötronyum Yoğunlaştırıcı"
"Neutronium Core","Nötronyum Çekirdeği"
"Neutronium Plate","Nötronyum Plakası"
"Neutronium Press","Nötronyum Presi"
"Neutronium Synthesis","Nötronyum Sentezi"
"Ni catalyst speeds H2 production. More efficient.","Ni katalizörü H2 üretimini hızlandırır. Daha verimli."
"Nickel","Nikel"
"Nickel Extraction","Nikel Çıkarımı"
"Nickel Mine","Nikel Madeni"
"Nickel Refinery","Nikel Rafinerisi"
"Nickel-Catalyzed Electrolysis","Nikel Katalizli Elektroliz"
"Nitrogen","Azot"
"Nuclear Fuel","Nükleer Yakıt"
"Null Sentinel","Hiçlik Nöbetçisi"
"Omega Accelerator","Omega Hızlandırıcı"
"Omega Battery","Omega Bataryası"
"Omega Cannon","Omega Topu"
"Omega Core","Omega Çekirdeği"
"Omega Forge","Omega Ocağı"
"Omega Foundry","Omega Dökümhanesi"
"Omega Plating","Omega Kaplama"
"Omega Sentinel","Omega Nöbetçisi"
"Omega-class production core. While held: +50% gathering yield and +50% infrastructure yield. Permanent passive — one is enough.","Omega sınıfı üretim çekirdeği. Elde tutulduğunda: +%50 toplama verimi ve +%50 altyapı verimi. Kalıcı pasiftir — bir tane yeterlidir."
"Omni-Fabrication","Omni-Üretim"
"Omni-Scanner","Omni-Tarayıcı"
"Optical Scanner","Optik Tarayıcı"
"Oracle Array","Kahin Dizisi"
"Orbital Gas Siphon","Yörüngesel Gaz Sifonu"
"Orbital Solar Relay","Yörüngesel Güneş Rölesi"
"Ore Guardian","Cevher Muhafızı"
"Ore Hauler","Cevher Taşıyıcı"
"Organic Combustion","Organik Yanma"
"Organic matter, rich in Carbon.","Karbon bakımından zengin organik madde."
"Organic sealant. cheaper than iron patches.","Organik dolgu. Demir yamalardan daha ucuzdur."
"Organic sludge containing unknown pathogens.","Bilinmeyen patojenler içeren organik çamur."
"Osmium","Osmiyum"
"Osmium Condenser","Osmiyum Yoğunlaştırıcı"
"Osmium Core","Osmiyum Çekirdeği"
"Osmium Core Plate","Osmiyum Çekirdek Plakası"
"Osmium Reactor Core","Osmiyum Reaktör Çekirdeği"
"Overdrive Catalyst","Aşırı Yükleme Katalizörü"
"Overseer's Carapace","Gözetmenin Kabuğu"
"Overseer's Command","Gözetmenin Komutu"
"Overseer's Dome","Gözetmenin Kubbesi"
"Overseer's Lance","Gözetmenin Mızrağı"
"Oxygen","Oksijen"
"Oxygen-Blast Furnaces","Oksijen-Üflemeli Fırınlar"
"Oxygen-Enriched Smelting","Oksijenle Zenginleştirilmiş İzabe"
"Palladium","Paladyum"
"Palladium Fuel Cell","Paladyum Yakıt Hücresi"
"Palladium Fuel Cell Generator","Paladyum Yakıt Hücresi Jeneratörü"
"Particle Beam","Parçacık Işını"
"Particle of antimatter. Handle with semantic containment fields.","Antimadde parçacığı. Semantik muhafaza alanları ile taşıyın."
"Pathogen Cannon","Patojen Topu"
"Pathogen Core","Patojen Çekirdeği"
"Pathogen Purification","Patojen Saflaştırma"
"Patient Zero","Sıfırıncı Hasta"
"Patina Phantom","Patina Hayaleti"
"Pd-H2 fuel cell. High efficiency energy generation.","Pd-H2 yakıt hücresi. Yüksek verimli enerji üretimi."
"Pentlandite Ore","Pentlandit Cevheri"
"Pentlandite extraction.","Pentlandit çıkarımı."
"Persistent Schematics","Kalıcı Şemalar"
"Phase Horror","Faz Dehşeti"
"Phased Array","Faz Dizisi"
"Phosphor Terminal","Fosfor Terminali"
"Photon","Foton"
"Photon Torpedo","Foton Torpidosu"
"Pirate Skiff","Korsan Teknesi"
"Plague Drone","Veba Dronu"
"Plasma","Plazma"
"Plasma Bore","Plazma Delici"
"Plasma Cell","Plazma Hücresi"
"Plasma Cutter","Plazma Kesici"
"Plasma Drive","Plazma Motoru"
"Plasma Lancer","Plazma Mızraklı"
"Platinum","Platin"
"Platinum Catalyst","Platin Katalizörü"
"Platinum Catalyst Chamber","Platin Katalizör Odası"
"Platinum Catalyst Matrix","Platin Katalizör Matrisi"
"Platinum Drill","Platin Matkap"
"Platinum Extraction","Platin Çıkarımı"
"Platinum Ore","Platin Cevheri"
"Polish Quartz into a Focusing Crystal — optics for energy & cryo weapons.","Kuvarsı bir Odaklama Kristaline cilala — enerji ve kriyo silahları için optikler."
"Polymer Resin","Polimer Reçine"
"Power Systems","Güç Sistemleri"
"Powerful magnet for containment fields.","Muhafaza alanları için güçlü mıknatıs."
"Precious Metal Dredge","Değerli Metal Taraması"
"Precious Metal Refining","Değerli Metal Arıtımı"
"Precious metal extraction.","Değerli metal çıkarımı."
"Precision Calibration","Hassas Kalibrasyon"
"Precision machined actuator.","Hassas işlenmiş aktüatör."
"Precision-machined structural assembly. Requires Iron, Copper, Silicon, Carbon, and Lithium. Universal building block for advanced modules.","Hassas işlenmiş yapısal montaj. Demir, Bakır, Silikon, Karbon ve Lityum gerektirir. Gelişmiş modüller için evrensel yapı taşı."
"Precision-machined universal assembly from base metals. Required for advanced fabrication.","Temel metallerden hassas işlenmiş evrensel montaj. Gelişmiş üretim için gereklidir."
"Precursor Crystalline","Öncü Kristal"
"Pressurized helium and nitrogen for weapon cooling, charged with recovered cryo-essence.","Kurtarılan kriyo-öz ile yüklenmiş, silah soğutması için basınçlı helyum ve azot."
"Pressurized helium cooling unit for high-power weapons.","Yüksek güçlü silahlar için basınçlı helyum soğutma ünitesi."
"Primordial Armor","Kadim Zırh"
"Primordial Bulkhead","Kadim Bölme"
"Primordial Crystallizer","Kadim Kristalleştirici"
"Primordial Engineering","Kadim Mühendislik"
"Primordial Extractor","Kadim Çıkarıcı"
"Primordial Forge","Kadim Ocak"
"Primordial Shard","Kadim Parça"
"Primordial Titan","Kadim Titan"
"Prism Annihilator","Prizma Yokedici"
"Prism Drone","Prizma Dronu"
"Prismatic Alloy","Prizmatik Alaşım"
"Prismatic Barrier","Prizmatik Bariyer"
"Prismatic Railgun","Prizmatik Elektromanyetik Top"
"Prismatic Warden","Prizmatik Muhafız"
"Pristine Amethyst Core","Kusursuz Ametist Çekirdeği"
"Pristine Cobalt Core","Kusursuz Kobalt Çekirdeği"
"Pristine Crimson Core","Kusursuz Kızıl Çekirdeği"
"Pristine Topaz Core","Kusursuz Topaz Çekirdeği"
"Process Colony Salvage","Koloni Hurdasını İşle"
"Process unstable isotopes into concentrated nuclear fuel.","Kararsız izotopları işleyip konsantre nükleer yakıta dönüştür."
"Processing Tungsten","Tungsten İşleme"
"Processing XP","İşleme TP"
"Projected ion barrier. Restores 25% Shield Integrity.","Yansıtılan iyon bariyeri. Kalkan Bütünlüğünün %25'ini yeniler."
"Prospector Array","Maden Arayıcı Dizisi"
"Pt-ceramic catalyst. Increases ALL processing speed by 25%.","Pt-seramik katalizör. TÜM işlem hızını %25 artırır."
"Pulse Laser Mk.I","Atımlı Lazer Mk.I"
"Pulse Skimmer","Atımlı Sıyırıcı"
"Pump Water","Su Çıkar"
"Pure pressurized carbon lattice.","Saf basınçlı karbon kafesi."
"Purified Compound","Saflaştırılmış Bileşik"
"Pyrolysis Control","Piroliz Kontrolü"
"Quantum Cell","Kuantum Hücresi"
"Quantum Core","Kuantum Çekirdeği"
"Quantum Core Synthesis","Kuantum Çekirdek Sentezi"
"Quantum Drive","Kuantum Motoru"
"Quantum Dynamics","Kuantum Dinamikleri"
"Quantum Scanner","Kuantum Tarayıcı"
"Quantum Separators","Kuantum Ayırıcılar"
"Quantum Torpedo","Kuantum Torpidosu"
"Quantum-clocked control card. Install on a building in Infrastructure to overclock one unit to 200%.","Kuantum saatli kontrol kartı. Bir üniteyi %200 hıza aşırtmak için Altyapıdaki bir binaya kurun."
"Quantum-entangled processing substrate for sentient AI.","Bilinçli yapay zeka için kuantum dolanık işlem alt tabakası."
"Quarantine Barrier","Karantina Bariyeri"
"Quarantine Clearance","Karantina İzni"
"Quarantine Mech","Karantina Mekaniği"
"Quarantine Protocols","Karantina Protokolleri"
"Quarry Dolomite","Dolomit Taş Ocağı"
"Quartz Crystal","Kuvars Kristali"
"Quartz Mine","Kuvars Madeni"
"Quartz Resonator","Kuvars Rezonatörü"
"Quick patch from basic metals. Restores 10% Hull Integrity.","Temel metallerden hızlı yama. Gövde Bütünlüğünün %10'unu yeniler."
"Radiation Beast","Radyasyon Yaratığı"
"Radiation Shielding Theory","Radyasyon Kalkanı Teorisi"
"Radioactive Isotope","Radyoaktif İzotop"
"Railgun Mk.II","Elektromanyetik Top Mk.II"
"Rapid-deployment patch. Repairs 50 Hull Integrity instantly.","Hızlı dağıtım yaması. Anında 50 Gövde Bütünlüğünü onarır."
"Rapid-hardening polymer. Repairs 50 Hull Integrity.","Hızlı sertleşen polimer. 50 Gövde Bütünlüğünü onarır."
"Rare Research Artifact","Nadir Araştırma Eseri"
"Rare heavy metal ore.","Nadir ağır metal cevheri."
"Rare metal used in fuel cells and catalysis.","Yakıt hücrelerinde ve katalizde kullanılan nadir metal."
"Rare sulfide mineral. Source of Germanium.","Nadir sülfür minerali. Germanyum kaynağı."
"Re-smelt battlefield alloy scrap into structural steel.","Savaş alanı alaşım hurdasını yeniden eritip yapısal çeliğe dönüştür."
"Reactive Barrier","Reaktif Bariyer"
"Reactive Core","Reaktif Çekirdek"
"Reactor Overclocking","Reaktör Hız Aşırtma"
"Rebuild Advanced Circuitry","Gelişmiş Devreleri Yeniden Oluştur"
"Recast colony reactor-salvage into a heavy mining-grade alloy.","Koloni reaktör hurdasını ağır maden sınıfı alaşıma yeniden dök."
"Recharge Coolant Cell","Soğutucu Hücreyi Yeniden Şarj Et"
"Recharge a salvaged Glacier-Belt coolant cell into a Cryo-Shield Matrix. Restores 35% Shield.","Kurtarılmış bir Buzul Kuşağı soğutucu hücresini Kriyo-Kalkan Matrisine şarj et. %35 Kalkan yeniler."
"Recipe Efficiency","Tarif Verimliliği"
"Reclaim Circuitry","Devreleri Geri Kazan"
"Reclaim Salvaged Alloy","Kurtarılan Alaşımı Geri Kazan"
"Recovered colonial database.","Kurtarılan koloni veritabanı."
"Reduce Chromite to Chromium (Cr) via aluminum thermite.","Alüminyum termiti aracılığıyla Kromiti Krom'a (Cr) indirge."
"Reduce Dolomite ore into metallic Titanium sponge — the hand path before the Titanium Refinery.","Dolomit cevherini metalik Titanyum süngerine indirge — Titanyum Rafinerisinden önceki el yordamı."
"Refine Lithium","Lityum Arıt"
"Refine Malachite ore into pure Copper.","Malahit cevherini saf Bakıra arıt."
"Refine Quartz into industrial Silicon.","Kuvarsı endüstriyel Silikona arıt."
"Refine Radioactive Isotopes","Radyoaktif İzotopları Arıt"
"Reflexive Plating","Yansıtıcı Kaplama"
"Reforge Martian war-debris into structural plate.","Mars savaş enkazını yeniden döverek yapısal plakaya dönüştür."
"Reforge Superalloy","Süperalaşımı Yeniden Döv"
"Regenerative Hull Plating","Yenilenebilir Gövde Kaplaması"
"Regenerative Plating","Yenilenebilir Kaplama"
"Reinforce Carbon strands.","Karbon iplerini güçlendir."
"Reinforced Layers","Güçlendirilmiş Katmanlar"
"Reinforced Plating","Güçlendirilmiş Kaplama"
"Reinforced carbon strands used in advanced fabrication.","Gelişmiş üretimde kullanılan güçlendirilmiş karbon ipleri."
"Resonance Splitters","Rezonans Bölücüler"
"Resonance Tuning","Rezonans Ayarı"
"Resonant Amethyst Core","Rezonanslı Ametist Çekirdeği"
"Resonant Cobalt Core","Rezonanslı Kobalt Çekirdeği"
"Resonant Crimson Core","Rezonanslı Kızıl Çekirdeği"
"Resonant Foundry","Rezonans Dökümhanesi"
"Resonant Topaz Core","Rezonanslı Topaz Çekirdeği"
"Resource Surge","Kaynak Dalgası"
"Reverse-engineer xenon fragments into an exotic structural alloy.","Ksenon parçalarına tersine mühendislik uygulayıp egzotik yapısal alaşıma dönüştür."
"Rift Warden","Yarık Muhafızı"
"Rime Alloy","Kırağı Alaşımı"
"Roast Pentlandite sulfide in Oxygen, then reduce with Carbon for Nickel (Ni).","Pentlandit sülfürünü Oksijende kavur, ardından Nikel (Ni) için Karbon ile indirge."
"Roast the Zinc sulfide ore in Oxygen, then reduce with Carbon.","Çinko sülfür cevherini Oksijende kavur, ardından Karbon ile indirge."
"Rogue AI Core","Başıboş YZ Çekirdeği"
"Rogue Architect","Başıboş Mimar"
"Rot Leviathan","Çürük Leviathan"
"Rust Horror","Pas Dehşeti"
"Sabot","Sabot"
"Salvage Data","Hurda Verisi"
"Salvage Scanner","Hurda Tarayıcı"
"Salvage Swarm","Hurda Sürüsü"
"Salvaged data core containing basic engineering schematics.","Temel mühendislik şemaları içeren kurtarılmış veri çekirdeği."
"Scavenger Mech","Toplayıcı Mekanik"
"Scrap Collector","Hurda Toplayıcı"
"Sector 12 — The Rift","Sektör 12 — Yarık"
"Sector 13 — The Verdigris Reach","Sektör 13 — Patina Menzili"
"Sector 14 — The Dissolution","Sektör 14 — Çözünme"
"Sector 15 — The Caustic Core","Sektör 15 — Kostik Çekirdek"
"Sector Alpha","Sektör Alfa"
"Sector Alpha Decryption","Sektör Alfa Deşifresi"
"Sector Beta","Sektör Beta"
"Sector Delta","Sektör Delta"
"Sector Epsilon","Sektör Epsilon"
"Sector Gamma","Sektör Gama"
"Sector Scanning (Alpha)","Sektör Taraması (Alfa)"
"Sector Zeta","Sektör Zeta"
"Seek","Ara"
"Seeker Missile","Arayıcı Füze"
"Seeker Torpedo","Arayıcı Torpido"
"Self-healing armor using bio-hazard compounds.","Biyotehlikeli bileşikler kullanan kendi kendini iyileştiren zırh."
"Self-sharpening penetrator. +30 Kinetic Dmg per shot.","Kendi kendini bileyen delici. Atış başına +30 Kinetik Hasar."
"Semiconductor","Yarı İletken"
"Semiconductor Furnace","Yarı İletken Fırını"
"Semiconductor Wafer","Yarı İletken Levha"
"Semiconductor material used in advanced electronics.","Gelişmiş elektronikte kullanılan yarı iletken malzeme."
"Sentient AI Processor","Bilinçli YZ İşlemcisi"
"Sentient-grade artificial intelligence unit.","Bilinç düzeyinde yapay zeka ünitesi."
"Servo Overclock","Servo Hız Aşırtma"
"Shard Resonance","Parça Rezonansı"
"Shard Swarm","Parça Sürüsü"
"Sharpened Edge","Bilenmiş Kenar"
"Shield Booster","Kalkan Güçlendirici"
"Shield Harmonics","Kalkan Harmonikleri"
"Shield Siphon","Kalkan Sifonu"
"Shipwright I","Gemi Üretimi I"
"Shipwright II","Gemi Üretimi II"
"Siege Cannon","Kuşatma Topu"
"Sift large amounts of dirt for Gold flakes.","Altın pulları için büyük miktarda toprağı ele."
"Silicate Golem","Silikat Golem"
"Silicate Monolith","Silikat Monoliti"
"Silicon","Silikon"
"Silicon Furnace","Silikon Fırını"
"Silver","Gümüş"
"Silver Catalyst","Gümüş Katalizör"
"Silver Catalyst Bay","Gümüş Katalizör Bölmesi"
"Singularity","Tekillik"
"Singularity Bomb","Tekillik Bombası"
"Skilling Tempo","Yetenek Temposu"
"Slug","Mermi"
"Smelt Cassiterite to extract Tin (Sn).","Kalay (Sn) çıkarmak için Kassiteriti erit."
"Smelt asteroid-pirate salvage into workable hull alloy — the Asteroid Belt's gear-grade stock.","Asteroit korsanı hurdasını işlenebilir gövde alaşımına erit — Asteroit Kuşağının donanım sınıfı stoğu."
"Sn-Nb alloy magnets for advanced shielding and engines.","Gelişmiş kalkanlama ve motorlar için Sn-Nb alaşımlı mıknatıslar."
"Socket into epic modules. +10% Defense & Evasion.","Destansı modüllere tak. +%10 Savunma ve Kaçınma."
"Socket into epic modules. +10% Hull & Jamming.","Destansı modüllere tak. +%10 Gövde ve Karıştırma."
"Socket into epic modules. +10% Kinetic & Energy Offense.","Destansı modüllere tak. +%10 Kinetik ve Enerji Saldırısı."
"Socket into epic modules. +10% Utilities.","Destansı modüllere tak. +%10 Yardımcı."
"Socket into epic modules. +18% Armor Pen / Evasion.","Destansı modüllere tak. +%18 Zırh Delme / Kaçınma."
"Socket into epic modules. +18% Atk Speed / Shield Regen.","Destansı modüllere tak. +%18 Saldırı Hızı / Kalkan Yenileme."
"Socket into epic modules. +18% Hull & Resist Pierce.","Destansı modüllere tak. +%18 Gövde ve Delme Direnci."
"Socket into epic modules. +2% Defense & Evasion.","Destansı modüllere tak. +%2 Savunma ve Kaçınma."
"Socket into epic modules. +2% Hull & Jamming.","Destansı modüllere tak. +%2 Gövde ve Karıştırma."
"Socket into epic modules. +2% Kinetic & Energy Offense.","Destansı modüllere tak. +%2 Kinetik ve Enerji Saldırısı."
"Socket into epic modules. +2% Utilities.","Destansı modüllere tak. +%2 Yardımcı."
"Socket into epic modules. +5% Defense & Evasion.","Destansı modüllere tak. +%5 Savunma ve Kaçınma."
"Socket into epic modules. +5% Hull & Jamming.","Destansı modüllere tak. +%5 Gövde ve Karıştırma."
"Socket into epic modules. +5% Kinetic & Energy Offense.","Destansı modüllere tak. +%5 Kinetik ve Enerji Saldırısı."
"Socket into epic modules. +5% Utilities.","Destansı modüllere tak. +%5 Yardımcı."
"Socket into epic modules. +60% Crit Dmg & +15% Crit.","Destansı modüllere tak. +%60 Kritik Hasar ve +%15 Kritik İhtimali."
"Solar Array","Güneş Dizisi"
"Sovereign Prism","Hükümdar Prizması"
"Sovereign's Corona","Hükümdarın Tacı"
"Sovereign's Mantle","Hükümdarın Pelerini"
"Sovereign's Prism","Hükümdarın Prizması"
"Sovereign's Ray","Hükümdarın Işını"
"Space Dust Mite","Uzay Tozu Akarı"
"Spare Parts","Yedek Parçalar"
"Specialized processor for weapon tracking.","Silah izleme için uzman işlemci."
"Sphalerite mineral.","Sfalerit minerali."
"Split Water into Hydrogen and Oxygen.","Suyu Hidrojen ve Oksijene ayır."
"Stabilize charged exotic isotopes into a radiation-tempered alloy.","Yüklü egzotik izotopları radyasyonla temperlenmiş bir alaşıma stabilize et."
"Stable Amethyst Core","Kararlı Ametist Çekirdeği"
"Stable Cobalt Core","Kararlı Kobalt Çekirdeği"
"Stable Crimson Core","Kararlı Kızıl Çekirdeği"
"Stable Topaz Core","Kararlı Topaz Çekirdeği"
"Stable quantum singularity. The heart of a Dreadnought.","Kararlı kuantum tekilliği. Bir Dretnotun kalbi."
"Stainless Armor","Paslanmaz Zırh"
"Stainless Steel","Paslanmaz Çelik"
"Stainless Steel Alloy","Paslanmaz Çelik Alaşımı"
"Standard Circuit Assembly","Standart Devre Montajı"
"Standard energy storage unit for early ships.","Erken gemiler için standart enerji depolama ünitesi."
"Standard high-explosive ordnance.","Standart yüksek patlayıcı mühimmat."
"Standard high-explosive ordnance. +10 Explosive Dmg.","Standart yüksek patlayıcı mühimmat. +10 Patlayıcı Hasar."
"Standard iron slugs. +5 Kinetic Dmg per shot.","Standart demir mermiler. Atış başına +5 Kinetik Hasar."
"Standardized energy batteries. +25 Energy Dmg.","Standart enerji bataryaları. +25 Enerji Hasarı."
"Static Burst","Statik Patlama"
"Static Hauler","Statik Taşıyıcı"
"Steel","Çelik"
"Steel Slugs","Çelik Mermiler"
"Strip Mine Bauxite","Boksit Şerit Madeni"
"Strip and re-trace damaged boards into working circuits.","Hasarlı kartları sök ve çalışan devrelere dönüştür."
"Stripped Circuitry (Fallback)","Sökülmüş Devreler (Geri Çekilme)"
"Strong metal widely used in construction.","İnşaatta yaygın olarak kullanılan güçlü metal."
"Strong, lightweight metal used in aerospace.","Havacılıkta kullanılan güçlü, hafif metal."
"Structural Component","Yapısal Bileşen"
"Structural Exploitation","Yapısal Sömürü"
"Structural Lattice Press","Yapısal Kafes Presi"
"Structural Press","Yapısal Pres"
"Sulfide ore excavation.","Sülfür cevheri kazısı."
"Super-cooled nitrogen for industrial cooling systems.","Endüstriyel soğutma sistemleri için aşırı soğutulmuş azot."
"Superalloy","Süperalaşım"
"Superalloy Engine","Süperalaşım Motoru"
"Superalloy Engineering","Süperalaşım Mühendisliği"
"Superalloy Forge","Süperalaşım Ocağı"
"Superalloy Plate","Süperalaşım Plakası"
"Superconducting Magnet","Süper İletken Mıknatıs"
"Supercools shield generators for rapid integrity restoration. Restores 35% Shield.","Hızlı bütünlük restorasyonu için kalkan jeneratörlerini aşırı soğutur. %35 Kalkan yeniler."
"Superfluid Intake","Süperakışkan Girişi"
"Superheated gas canister. +15 Energy Dmg per shot.","Aşırı ısınmış gaz kutusu. Atış başına +15 Enerji Hasarı."
"Survey Probe","Tarama Sondası"
"Swarm","Sürü"
"Synthesize Rare Artifact","Nadir Eser Sentezle"
"Synthesize a high-bandwidth AI processing core.","Yüksek bant genişliğine sahip bir YZ işlemci çekirdeği sentezle."
"Synthesize navigation data from salvaged schematics and Liras.","Kurtarılan şemalar ve Liralardan navigasyon verisi sentezle."
"Synthesize pathogen samples into biological weapon coating.","Patojen örneklerini biyolojik silah kaplamasına sentezle."
"Synthesize resin from hydrocarbons.","Hidrokarbonlardan reçine sentezle."
"Synthetic resin base for sealants and plastics.","Sızdırmazlık malzemeleri ve plastikler için sentetik reçine tabanı."
"Tactical Breach Chance","Taktiksel İhlal İhtimali"
"Targeting Array Fabrication","Hedefleme Dizisi Üretimi"
"Targeting Chip","Hedefleme Çipi"
"Technical schematics recovered from derelict probes. Essential for engineering research.","Terk edilmiş sondalardan kurtarılan teknik şemalar. Mühendislik araştırmaları için elzem."
"Temper frost-fused hull scrap with glacial essence into cold-rated alloy.","Buzla kaynaşmış gövde hurdasını buzul özüyle temperleyerek soğuğa dayanıklı alaşıma dönüştür."
"Temporal Drive","Zamansal Motor"
"Temporal Phantom","Zamansal Hayalet"
"Temporal Stabilizer","Zamansal Sabitleyici"
"Temporal Tracker","Zamansal İzleyici"
"Terraforming Processor","Dünyalaştırma İşlemcisi"
"The Threshold","Eşik"
"The basis of life and organic chemistry.","Yaşamın ve organik kimyanın temeli."
"The most abundant element in the universe. Essential fuel.","Evrendeki en bol element. Hayati yakıt."
"The ultimate boss core, pulsing with primordial energy. The rarest crafting material.","İlkel enerjiyle titreşen nihai bölüm sonu canavarı çekirdeği. En nadir üretim malzemesi."
"The ultimate defensive material.","Nihai savunma malzemesi."
"Thermo","Termo"
"Threshold Relic — Rift","Eşik Kalıntısı — Yarık"
"Threshold Warden","Eşik Muhafızı"
"Tin","Kalay"
"Tin Mine","Kalay Madeni"
"Tin Smelter","Kalay İzabe Fırını"
"Tin Smelting","Kalay İzabesi"
"Tin ore.","Kalay cevheri."
"Titan","Titan"
"Titan Overlord Trophy","Titan Derebeyi Ganimeti"
"Titan's Aegis","Titan'ın Kalkanı"
"Titan's Bulwark","Titan'ın Siperi"
"Titan's Legacy","Titan'ın Mirası"
"Titan's Wrath","Titan'ın Gazabı"
"Titan-forged plating. While held: +30% hull HP on every ship. Permanent passive — one is enough.","Titan dövmesi kaplama. Elde tutulduğunda: Her gemide +%30 gövde canı. Kalıcı pasif — bir tane yeterli."
"Titanium","Titanyum"
"Titanium Reduction","Titanyum İndirgemesi"
"Titanium Refinery","Titanyum Rafinerisi"
"Toxin Sentinel","Toksin Nöbetçisi"
"Tungsten","Tungsten"
"Tungsten Sabot","Tungsten Sabot"
"Tungsten Vein Mining","Tungsten Damarı Madenciliği"
"Tungsten-Superalloy sabot for railguns. +60 Kinetic Dmg.","Elektromanyetik toplar için Tungsten-Süperalaşım sabot. +60 Kinetik Hasar."
"Tungsten-Superalloy sabot for railguns. Extreme kinetic impact.","Elektromanyetik toplar için Tungsten-Süperalaşım sabot. Ekstrem kinetik etki."
"Turret Core","Taret Çekirdeği"
"Ultimate power storage using void essence compression.","Hiçlik özü sıkıştırması kullanan nihai güç depolama."
"Ultra-dense armor-piercing alloy.","Ultra-yoğun zırh delici alaşım."
"Ultrasonic Drills","Ultrasonik Matkaplar"
"Unstable fusion plasma containment. +60 Energy Dmg.","Kararsız füzyon plazma muhafazası. +60 Enerji Hasarı."
"Unstable fusion plasma containment. Extreme damage.","Kararsız füzyon plazma muhafazası. Ekstrem hasar."
"Unstable isotope with anomalous properties.","Anormal özelliklere sahip kararsız izotop."
"Unstable power core.","Kararsız güç çekirdeği."
"Unstable singularity core. +30 Energy Dmg per shot.","Kararsız tekillik çekirdeği. Atış başına +30 Enerji Hasarı."
"Uranium","Uranyum"
"Uranium Isotope Centrifuge","Uranyum İzotop Santrifüjü"
"Use Oxygen to blast smelt Steel efficiently. Manganese deoxidises the melt for a higher yield.","Çeliği verimli bir şekilde eritmek için Oksijen kullan. Manganez, daha yüksek verim için eriyiği deokside eder."
"Used in dopants for semiconductors.","Yarı iletkenler için katkı maddelerinde kullanılır."
"Used in electronics and glass making.","Elektronik ve cam yapımında kullanılır."
"Used in soldering and bronze alloys.","Lehimleme ve bronz alaşımlarında kullanılır."
"Used in steel production and alloys.","Çelik üretimi ve alaşımlarda kullanılır."
"Utilize mite chitin for emergency hull repairs. Restores 15% Hull Integrity.","Acil gövde onarımları için akar kitinini kullan. Gövde Bütünlüğünün %15'ini yeniler."
"Utilized to repair degraded modules and restore durability.","Bozunmuş modülleri onarmak ve dayanıklılığı geri kazandırmak için kullanılır."
"Vacuum energy extraction. Restores 50% Shield Integrity.","Vakum enerji çıkarımı. %50 Kalkan Bütünlüğünü yeniler."
"Vapor","Buhar"
"Vaporizer Cell","Buharlaştırıcı Hücresi"
"Verdigris Warden","Patina Muhafızı"
"Versatile metal used in batteries and superalloys.","Bataryalarda ve süperalaşımlarda kullanılan çok yönlü metal."
"Very hard, brittle, silvery-white transition metal. Extremely rare.","Çok sert, kırılgan, gümüşi beyaz geçiş metali. Son derece nadir."
"Void Aegis","Hiçlik Kalkanı"
"Void Annihilator","Hiçlik Yokedici"
"Void Artifact","Hiçlik Eseri"
"Void Battery","Hiçlik Bataryası"
"Void Beam","Hiçlik Işını"
"Void Conqueror Trophy","Hiçlik Fatihi Ganimeti"
"Void Crystal","Hiçlik Kristali"
"Void Crystallizer","Hiçlik Kristalleştirici"
"Void Distillation","Hiçlik Damıtması"
"Void Engine","Hiçlik Motoru"
"Void Essence","Hiçlik Özü"
"Void Hunter","Hiçlik Avcısı"
"Void Lattice Weave","Hiçlik Kafesi Örgüsü"
"Void Leviathan","Hiçlik Leviathanı"
"Void Navigation","Hiçlik Navigasyonu"
"Void Reaver","Hiçlik Yağmacısı"
"Void Rift Anchor","Hiçlik Yarığı Çapası"
"Void Shielding Optimization","Hiçlik Kalkan Optimizasyonu"
"Void Stalker","Hiçlik İz Sürücüsü"
"Void Strike","Hiçlik Saldırısı"
